Team_Line,Players
edmonton-oilers_Line 2,"['Jeff Skinner', 'Leon Draisaitl', 'Viktor Arvidsson']"
edmonton-oilers_Line 3,"['Mattias Janmark', 'Adam Henrique', 'Connor Brown']"
edmonton-oilers_Line 4,"['Vasily Podkolzin', 'Corey Perry', 'Mattias Ekholm']"
edmonton-oilers_Defensive Pairing 1,"['Evan Bouchard', 'Darnell Nurse']"
edmonton-oilers_Defensive Pairing 2,"['Ty Emberson', 'Brett Kulak']"
edmonton-oilers_Defensive Pairing 3,"['Troy Stecher', 'Zach Hyman']"
edmonton-oilers_Powerplay,"['Ryan Nugent-Hopkins', 'Leon Draisaitl', 'Connor McDavid', 'Evan Bouchard', 'Viktor Arvidsson']"
philadelphia-flyers_Line 1,"['Tyson Foerster', 'Sean Couturier', 'Travis Konecny']"
philadelphia-flyers_Line 2,"['Owen Tippett', 'Morgan Frost', 'Matvei Michkov']"
philadelphia-flyers_Line 3,"['Joel Farabee', 'Jett Luchanko', 'Bobby Brink']"
philadelphia-flyers_Line 4,"['Scott Laughton', 'Ryan Poehling', 'Garnet Hathaway']"
philadelphia-flyers_Defensive Pairing 1,"['Cam York', 'Travis Sanheim']"
philadelphia-flyers_Defensive Pairing 2,"['Nick Seeler', 'Jamie Drysdale']"
philadelphia-flyers_Defensive Pairing 3,"['Egor Zamula', 'Rasmus Ristolainen']"
philadelphia-flyers_Powerplay,"['Travis Konecny', 'Morgan Frost', 'Matvei Michkov', 'Owen Tippett', 'Cam York']"
florida-panthers_Line 1,"['Carter Verhaeghe', 'Aleksander Barkov', 'Sam Reinhart']"
florida-panthers_Line 2,"['Evan Rodrigues', 'Sam Bennett', 'Matthew Tkachuk']"
florida-panthers_Line 3,"['Eetu Luostarinen', 'Anton Lundell', 'Mackie Samoskevich']"
florida-panthers_Line 4,"['A.J. Greer', 'Patrick Giles', 'Jesper Boqvist']"
florida-panthers_Defensive Pairing 1,"['Gustav Forsling', 'Aaron Ekblad']"
florida-panthers_Defensive Pairing 2,"['Dmitry Kulikov', 'Adam Boqvist']"
florida-panthers_Defensive Pairing 3,"['Niko Mikkola', 'Uvis Balinskis']"
florida-panthers_Powerplay,"['Sam Reinhart', 'Aleksander Barkov', 'Carter Verhaeghe', 'Adam Boqvist', 'Matthew Tkachuk']"
vegas-golden-knights_Line 1,"['Ivan Barbashev', 'Jack Eichel', 'Victor Olofsson']"
vegas-golden-knights_Line 2,"['Pavel Dorofeyev', 'William Karlsson', 'Mark Stone']"
vegas-golden-knights_Line 3,"['Alexander Holtz', 'Tomas Hertl', 'Nicolas Roy']"
vegas-golden-knights_Line 4,"['Keegan Kolesar', 'Brett Howden', 'Zach Aston-Reese']"
vegas-golden-knights_Defensive Pairing 1,"['Shea Theodore', 'Alex Pietrangelo']"
vegas-golden-knights_Defensive Pairing 2,"['Noah Hanifin', 'Nicolas Hague']"
vegas-golden-knights_Defensive Pairing 3,"['Brayden McNabb', 'Zach Whitecloud']"
vegas-golden-knights_Powerplay,"['Mark Stone', 'Tomas Hertl', 'Victor Olofsson', 'Jack Eichel', 'Shea Theodore']"
pittsburgh-penguins_Line 1,"['Anthony Beauvillier', 'Sidney Crosby', 'Bryan Rust']"
pittsburgh-penguins_Line 2,"['Michael Bunting', 'Evgeni Malkin', 'Rickard Rakell']"
pittsburgh-penguins_Line 3,"[""Drew O'Connor"", 'Lars Eller', 'Jesse Puljujarvi']"
pittsburgh-penguins_Line 4,"['Kevin Hayes', 'Cody Glass', 'Noel Acciari']"
pittsburgh-penguins_Defensive Pairing 1,"['Matt Grzelcyk', 'Kris Letang']"
pittsburgh-penguins_Defensive Pairing 2,"['Marcus Pettersson', 'Jack St. Ivany']"
pittsburgh-penguins_Defensive Pairing 3,"['Ryan Graves', 'Erik Karlsson']"
pittsburgh-penguins_Powerplay,"['Evgeni Malkin', 'Sidney Crosby', 'Bryan Rust', 'Erik Karlsson', 'Rickard Rakell']"
minnesota-wild_Line 1,"['Kirill Kaprizov', 'Marco Rossi', 'Mats Zuccarello']"
minnesota-wild_Line 2,"['Marcus Johansson', 'Joel Eriksson Ek', 'Matt Boldy']"
minnesota-wild_Line 3,"['Marcus Foligno', 'Ryan Hartman', 'Yakov Trenin']"
minnesota-wild_Line 4,"['Jakub Lauko', 'Marat Khusnutdinov', 'Frederick Gaudreau']"
minnesota-wild_Defensive Pairing 1,"['Jonas Brodin', 'Brock Faber']"
minnesota-wild_Defensive Pairing 2,"['Jacob Middleton', 'Jared Spurgeon']"
