colorado-avalanche
boston-bruins
toronto-maple-leafs
ottawa-senators
nashville-predators
montreal-canadiens
tampa-bay-lightning
new-york-rangers
edmonton-oilers
philadelphia-flyers
florida-panthers
vegas-golden-knights
pittsburgh-penguins
minnesota-wild
calgary-flames
new-jersey-devils
anaheim-ducks
washington-capitals
st-louis-blues
new-york-islanders
los-angeles-kings
buffalo-sabres
detroit-red-wings
winnipeg-jets
dallas-stars
carolina-hurricanes
seattle-kraken
vancouver-canucks
chicago-blackhawks
san-jose-sharks
columbus-blue-jackets
utah-hockey-club
